produk,user,review,klasifikasi
cosrx toner,Jesslynjo,usaha suka nemu manfaat benar rasa kulit wajah so far cmn mist bikin seger pakenya kulit cenderung oily kering keset komedo putih tetep muncul kombinasi skincarenya ngeklop tekstur mist ringan air gampang pakenya just hoping it could do something wow to me,negative
cosrx toner,cintara,sedih banget cocok beruntus hilang sayang gacocok wajah bikin jerawat mendem henti coba pakai reaksi muncul jerawat tekstur toner enak cair kaya air ringan tidak bikin lengket wajah plus pakai toner simple spray,negative
cosrx toner,natasyakartika,gatau kenapaaa tonertoner cosrx tidak ada uang pengaruh apa reviewreview bagus toner eksfoliasi pertama tidak ada uang results positif negatif gapapa mungkin aza yhhha,negative
cosrx toner,hestiapril,pakai toner beli review teman teman produk bagus but maaf to say tidak cocok bikin merah gatal huhu memang tidak cocok,negative
cosrx toner,sherlynovi,cosrx tertawa bha clarifying treatment toner toner eksfoliasi mau tahu urus orang banget ken coba b mungkin pakai hard mild tekstur toner cair air yidak reaksi tanda ketidakcocokan,negative
cosrx toner,jjaemxinx,tipe toner watery beli lihat review orangorang oily skin bilang produk bagus banget pakai bikin kering banget wajah habis pakai buruburu pakai hydrating toner pakai bulan bukan baik kusam banget kulit merah gosong bangett berhentiin pakai mungkin bahan aktif pakai skincare turut produk bagus tidak akuu,negative
cosrx toner,dignara,expect toner tidak efek apa mungkin kulit tidak mudah tembus mild chemical exfoliatornya better pakai face wash tertawa bha semprot toner pricey kan efek mau tidak diachive dalam pakai,negative
cosrx toner,Ichaathr,kandung tertawa bha rendah banget masuk dalam kategori mild pas pakai jerawat huhu kira cocok kulit cobain ekfo sayang banget ukur exfo beneran mild jangkau banget,negative
cosrx toner,Fristina,tidak cocok banget kuit berjerawatapalagi jerawat on off awal pakai xseminggu oke gada tapiii setelahnyaaa semprot kan esok hari bruntusan dijidatttt banyakk bngettt syok akhirnua melepaskannnyaaa maaf gaakan beli lagi,negative
cosrx toner,honeykarl,toner holy grail beli nyoba pakai bulan adang kulit yang timbul jerawat komedo merah pipi garis rahang ngira purging habis kira botol merah radang nyerah skincare bingung toner tidak cocok beli ori sociolla kulit sensitive make toner exfo sbm hijau kulit sensitif coba patch test nyoba toner,negative
cosrx toner,bluejaysca,toner bagus daily exfo pakai coba lumayan sadly tidak cocok bruntusan redness parah muncul jerawat mendemmm hidung toner sisa tidak berani pakai takut bo huhuhuuuuu tipe kulit sensitiveee susah banget adaptasi fragrance kulit sensitv tiati pakai toner skincare tu cocok tidak cocok tidak cocok,negative
cosrx toner,shella92,produk banget turut unggul tidak katanga exfoliating kecil banget koma bilang hyrdating tidak hydrate bangetttt buat lebih baik cari toner fokus hidrasi cari oke begiti eksfoliasi,negative
cosrx toner,meuthiaputri,bilang mula exfo coba rendah tertawa bhanya bruntusan bangett pelipis doang pipi cenderung normal oke halus banget renti pakai muncul jerawat bruntusan pelipis merah bagi hidung kering lumayan bantu komedo gampang keluar,negative
emina sun battle sunscreen,runpotato,pakai tidak atur jari jari bikin muka minyak banget serap tunggu menit tidak hilang glowing minyak rasa kayak lapis kulit wajah pakai maaf to say kayak pakai mentega kesel banget bekas jari minyak banget set pakai bedak tabur ngegeser haduh kecewa pokok,negative
emina sun battle sunscreen,ardinaayu31,tidak and noooo i said tidak awal nyoba spf mau tahu urus orang nyoba spf lihat review cocok pakai ss emina bikin minyak banget pakai tekstur ringan kayak spf but i prefer spf wangi persis khas aloevera pakai ss bikin peeling tidak perih mata,negative
emina sun battle sunscreen,ilysmzaaa,big tidak produk emina sunscreen coba usia remaja hasil kulit adang kulit yang timbul jerawat komedo merah bodoh tidak cek ingredientnya salah emina nama skincare kan cocok sensasi dingin banget aroma kuattt kulit sensitif kandung fragrance coba,negative
emina sun battle sunscreen,yunitaawaliyah,tekstur enak creamy gel wangi enak spf lumayan harga oke muka oily acne prone benerbener doesnt work asa lapis minyak tebel muka resap panas ampe keringetan muka nungguin resap muncul bruntusan mungkin dry skin cocok oily tidak recommen banget,negative
emina sun battle sunscreen,higiamawadah,tarik nyoba sunscreen cocok banget pakai spf spf apply lengket banget nyerap kulit timpa pakai bedak bb cushion cakey muka kusam,negative
emina sun battle sunscreen,Deusevillian,beneran produk emina kecewa tidak niat beli lapar mata akhir kecewa pakai asa pakai cleansing balm bilas banget kulit normal sensitif asa banget minyakannnya oily untung tidak bikin jerawat gimanagimana pakai ss bagi tangan kaki eiya perih mata nunggu menit ngeset ngeset bikin muka asa kering big tidak tidak banget,negative
emina sun battle sunscreen,qoqohnut,beli harga lumayan murah sbenernya isi dikit tekstur banget serap muka asa greasy minyak parah pokok super tidak nyaman bikin mata perih menang pas make tidak white cast piling tidak cocok sm pelembab minggu pakai bikin break out lumayan parah and finally decided to stop using this,negative
emina sun battle sunscreen,tiara0202,maaf banget kasih rate gin benar tidak nyaman pakenyaa emina salah brand cinta koleksi make up skincarenya bagus sayang tidak sunscreen spf cinta banget repurchase puluh kayak spf aplikasi muka gerahhhh agak susah blend bikin muka oily oily kusaaaam moga emina improve sunscreen spf spf cocok banget,negative
emina sun battle sunscreen,fahrazasyah,im maaf emina but this sunscreen is a big tidak for me it is too heavy to be applied on my face tipe kulit normal to dry tidak guna sunscreen minyak pokok tidak nyaman banget,negative
emina sun battle sunscreen,mthnns,whoaaaa terngaco zuzur susah banget blend menit whitecase tidak hilang hampir menit benar nyerap muka oily parah skin type combioily which is tidak cocok muka emina spf cocok banget iseng nyobain spf sayang sm kulit tidak jodoh,negative
emina sun battle sunscreen,anitanursyifa,sangaaat tidak cocok pakai jam buat kulit kilang minyak st dry kilang minyak gin otomatis pengaruh make up rawan longsorrr longsor banget make up muka pakai hari muncul jerawat muka jarang jerawat pakai cekit bau ganggu,negative
emina sun battle sunscreen,calhusni,lengket bikin muka kusam tidak nyerep bau tidak enak banget bingung spf cocok banget suka banget tidak banget pakai pakai masker bau tidak nyengat gaenak bikin pusing lengket banget emina please banget huhu suka produk maaf to say very not recommended,negative
emina sun battle sunscreen,dianditaa,sadly tidak cocok sunscreen finishnya dewy banget kulit kombinasi jatuh greasy banget trus lengket ngeset tetep lengket tekstur mirip biore uv essence kental sunscreen tidak ada uang whitecase nahh bikin gasuka pakai muncul jerawat kulit,negative
emina sun battle sunscreen,linaarw,im really sad that this product doesnt work on me lightweight finishnya buat sedih dirasain minyak kering pakek makeup susah ngedempul parah gampang transfer tidak cocok oily skin,negative
emina sun battle sunscreen,sabrinaprtw,gacocok gatel banget kulit muka keluar ruam merah gatel perih besok jerawat cocok emina keluar gatau proteksi beneran spf kulit tidak reaksi alergi series,negative
emina sun battle sunscreen,shintaalya,i tried to like it but i cant kira tekstur watery creamy gampang diblend asa gerah minyak banget muka mirip ss brand crsn susah dipakein makeup atas kena mata perih banget tidak jam perih,negative
emina sun battle sunscreen,windatsanii,sebelas duabelas sunscreen emina spf gajauh beda mending kental tetep perih mata tidak perih spf harga lebih baik beli spf murah gajauh beda tidak cocok kasih sepupu buang duid akhirnyaaa gapapa,negative
emina sun battle sunscreen,raliapr,it doesnt work on me sedih sunscreen big tidak tekstur kental aplikasi rasa lengket banget gerah perih area mata cuping hidung jam pakai muka ladang minyak banget coba pakai rutin perhati timbul jerawat wajah wajah agak kusam gatau,negative
emina sun battle sunscreen,Silviarnr,produk tidak kasih kulit wajah kaya jerawat komedo adang kulit yang timbul jerawat komedo merah dan lain kulit tidak rewel rasa gapapa pakai sunscreen formula cream sunscreen bikin kulit minyak banget pakai sunscreen skip step skincare bagi moisturizer alam paksain pakai moisturizer sunscreen hasil jam wajah kusam minyak produk tidak sengaja masuk mata aplikasi deket bagi mata baka perih bangettttt perih bikin mata air parahhhh keluar pakai masker kan daerah mata tidak lindung kain banget lindung sudut wajah dahi mata,negative
emina sun battle sunscreen,Ghina_alifahh,sunscreen tekstur turut thick wangi citrus tidak sengat aplikasi produk mudah diblend tinggal minim whitecase hilang perih mata gerah kulit kulit combination to oily ngesetnya lamaaa banget butuh jaman akhir greasy hasil pakai simpul sunscreen tidak cocok pakai kulit alami clogged pores minyak akhir beruntus so sad sayang padaha sunscreen bilang affordable gampang didapetin formula sunscreen sunscreen hybrid kandung alcohol perfume list ingridients,negative
emina sun battle sunscreen,duhmdurum,mula banget pakai skincare umur kesan pakai minyak gerah nunggu menit ss resap sempurna kulit wajah bawa aktivitas super keringat banget alami esok hari wajah guaaattteeellllbuangggeeeeettt tekstur kasar kaya bintik kaya warna kulit tidak kaya mulus kulit gatau nama sayang gacocok pakein tangan skintype minyak,negative
emina sun battle sunscreen,fachiraanindy,tekstur enak banget cream to gel warna kuning serta glitter oke tidak kulit wajah bikin banget greasy sumuk lengket harga murce banget sayang tidak cocok bau lemon lumayan kuat tidak cocok wajah aplikasi tangan kaki,negative
emina sun battle sunscreen,winnistefani,combination to oily bagi idung pipi jahat kelamin bikin muka minyak nyerapnya jujur harap trnyata suka sun protection spf minyak bkin tidak kuat ditempelin makeup powdercream tidak nyatu,negative
emina sun battle sunscreen,Ameylianurul,ss emina chemical dg tekstur creamy terang gampang apply gada white cast lembap rasa silicon muka pakai muka naked cepat mersap enak layering skincare jujur susah resap ngerasa tidak maximal ss periiihh pedes mata air cuci muka pakai area mata sisasisa pakai ss gapernah perih kaya gin suka emina spf,negative
emina sun battle sunscreen,Ozahart,tidak cocok tekstur enak agak oily tidak bikin wajah abu lusuh ntah ganti sunscreen produk beruntus wajah warna abu my bad lihat review cocok so this is not for me,negative
emina sun battle sunscreen,ivannugraha_,berekspektasi sunscreen packaging yakin tekstur kaya sunscreen emina spf muka oily bikin kusam cepat banget minyak blom jam oily im maaf emina,negative
emina sun battle sunscreen,safialyss,first impressionku ss promising pas nyoba big tidak maaf nyoba tidak inget hari make muka adang kulit yang timbul jerawat komedo merah parah mungkin memang salah tidak baca detail produk skin type ambil,negative
emina sun battle sunscreen,fazha30,sunscreen cocok kulit oily jadi kulit oily kusam bikin kulit gerah cuci muka pedih segi tekstur oke cocok dry skin,negative
emina sun battle sunscreen,marianurachman,tekstur terang mudah blend hasil kulit minyak lapis minyak kulit pegang nempel tangan mangganggu aktifitas set bedak put tidak hasil tetep lengket habisin pakai badan,negative
emina sun battle sunscreen,nazuu_rmd,tidak cocok beli tidak beli pas pas pakai hasil muka minyak kusam tu tidak nyadar tidak tanda tanda tidak cocok ya sudah terusin pakai habis pas habis tanda tidak cocok ya sudah nama terlanjurr trus bau suka ngeblendnya agak maaf emina bagi tidak cocok,negative
emina sun battle sunscreen,Chiekun,sayang banget sunscreen ok tidak kaya sodaranya spf pertamatama tekstur kentel minyak well tidak tekstur kentel minyak supergoop play favorit tekstur susah banget diblendnya ngeblend whitecase kayak tidak ngeset agak heran kan physical sunscreen tekstur parah physical sunscreen tidak cocok pakai make up lebih ss tidak bikin beruntus jerawat pakai badan,negative
emina sun battle sunscreen,sulistyawatiar,segi tekstur feel suka emina spf drpd tekstur thick mudah rata wangi mirip spf kalem wangi kulit cenderung normal finishnya basah benar gerah kusem akalin pakai bedak tabur hasil tidak nyatu cakey sunscreen basah lebih skip pelembab sunscreen melembabkan but yaaa tidak suka sunscreen,negative
emina sun battle sunscreen,ArofahN,nyobain spf pa tekstur krimdan lumayan thick agak susah blend pakai dikit layer bikin mata perih tidak suka feel kulit pakai ngerasa muka kusam pakai,negative
emina sun battle sunscreen,olvia,pakai emina sun protection rilis suka banget affordable bagus kulit harap versi baru bagus maaf sayang versi spf pa tidak penuh ekspektasiku tidak susah diblend tidak pilling tidak bikin cekitcekit perih pakai lgs bikin muka minyak minyak parah make up ganggu,negative
emina sun battle sunscreen,onlykirana,pakai produk sunscreen emina beda variant emina sun protection emina sun battle spf varian sebutin cocok banget kulit beda banget varian varian look kulit kusam area hidung cepat berkomedo,negative
emina sun battle sunscreen,softbuttercream,beli sunscreen hasil minyak banget harga mahal pedih mata emina spf pedih mata wajar sunscreen murah mahal banget harga ml hasil tidak banget muka kayak tumpah minyak astaga tekstur enak spf tidak beli,negative
emina sun battle sunscreen,nagasiren,harap performa bagus dahulu tidak sunscreen geser tidak set kulit skip moisturizer pas geser masuk mata unchh perih akal set bedak tabur oil controlnya oke bebapa minyak guna berturutturut muncul bumps whitehead yah proteksi sinar uv bagus sun protection pakai panaspanasan sengat matahari kulit wajah sayang banget tidak cocok,negative
emina sun battle sunscreen,spicalasavita,tida mngerti tekstur finishnya beda banget emina spf mahal ml harap spf bikin wajah minyak banget tekstur kental sulit diblend tinggal whitecase bingung banget aplikasiin ruas jari pakai ruas susah diblend banget tidak kering pulaaa huhuuu makeup aneh produk alkohol urut bye for me huhu,negative
emina sun battle sunscreen,yaniww,beli in tarik packagingny lucu promo pakai aman muka tekstur thick sblmnya resap agak sunscreen in cocok kulit keringklo minyak kekuranganny bkin perih mata keringetan tidak banget,negative
emina sun battle sunscreen,inginglowing,jujur bikin gerah gapake moisturizer bikin agak kusam liat mandi mungkin gacocok tipe kulit oily pakein tangan kaki biar produk tetep kepake,negative
emina sun battle sunscreen,aciddicaa,minggu pakai sunscreen tidak versi pertama bilang cocok alhamdulillahtapiada klaim tidak tekstur lotion tidak whitecase mudah memang rata turut tidak ringan tidak mudah serap kulit yah greasy oily lumayan nunggu menyerapwanginya versi spf wangi citrusy campur wangi alkohol pakai jam ruang oily banget resiko sumbat poripori malah comedogenic,negative
emina sun battle sunscreen,Bycyndy,beli emina sunscreen habis explore ss nyaman kulit oily acne prone bilah emina iniisinya lumayan bund ml harga ekonomis isi ngomong-ngomong prodak emina new packaging emina disclaimer beli pakai duid co sadar review murni honest review packaging emina genggamable banget tidak gede tidak kecil penting bawa ss banget wajib reapplytexture kaya gel lotion tidak warna putih cepat nyerep pokonyayang suka ss emina gampang banget diblend tidak ada uang white cast pas templokin muka kaya dingin adem enak banget poko cepat banget nyerepnya tidak lengket mursidah gampang dbeli tidak suka pas buka parfumenya strong banget perih banget mata pas ngeratain bagi dahi pipi alkohol etanol list reapply cumuk gerah pakenya banyak bikin muka kilang minyak kusem banget repurchase tidak,negative
emina sun battle sunscreen,JihanElmira_,huuuuu sedih banget sunscreen tidak cocok wajah harap bagus wajah sumuk kusam minyak pakai sensasi adem tidak agak lengket tidak recommended dehhhhh,negative
emina sun battle sunscreen,kalista_yasmin,super greasy gambar produk sunscreen emina spf sunscreen emina suka tekstur creamy tebel pakai bikin muka kayak kusam tidak suka super greasy set pakai bedak tetep ninggalin kesan tebel greasy rasa banget muka turut cocok pakai daily,negative
emina sun battle sunscreen,ndha_noona,tekstur cream minyak lengket wajah tipe oily pedih mata habis kena air kulit wajah enak bagus pas apply pas segi harga oke,negative
emina sun battle sunscreen,tami917,wangi hampir kayak spf cuman kayak versi ringan kulit tidak kulit pakai kulit finishnya matte tidak dewy sunscreen sunscreen tidak whitecase nyerap so so,negative
emina sun battle sunscreen,helloits_ann,bagus bikin gerah pakai lembab pakai dingin drying banget bikin kusem suka tekstur fragrancenya kuat banget pakai paksa sunscreen pakai habis beli ada toko dekat,negative
emina sun battle sunscreen,CiciRadityaNabilla,bulan pakai cocok bikin kesel efek pedih mata tidak cocok tidak bawa pedih melulu minyak bikin kusam dasar sunscreen memang,negative
emina sun battle sunscreen,larasdyah,bagus kulit tidak pilling whitecase lamalama pas diapply bareng bedak cushion tidak banget satu tidak blend lamalama pilling pakai luar rumah oke,negative
emina sun battle sunscreen,viarama,pas pakai tidak perih mata finishnya oily banget pakai face oil tidak whitecase however blendnya agak susah lengket merah muka lumayan calm pakai tidak peeling layer bikin kusam aneh perih pas selesai cuci muka pas apply dry skin mungkin suka hati mata sensitif,negative
emina sun battle sunscreen,mayanswr,sunscreen emina sun battle mudah rata tidak whitecase kulit dry produk agak greasy resap butuh banget aneh awal rasa greasy sulit resap jam pakai finish matte pakai serum moist melembabkan aneh ajaa pakai make up bikin geser sepertunya coba habis tidak bikin jerawat experience senang,negative
emina sun battle sunscreen,DeaPremiera,wangi enak tekstur krim gampang diblend gampang nyerep normal to oily rasa gerah banget tidak kusam finishnya glowy minyak gasukaa mungkin kulit normal dry bagus turut,negative
emina sun battle sunscreen,wahyunifirza,tidak cocok pakai bikin kusam minyak gerah muncul bruntusan komedo hidung harga jangkau mungkin dry normal skin cocok kayak cocok pakai tidak,negative
emina sun battle sunscreen,ariesgirll,nyoba ss spf ebih tinggipas pakai tu oke oke tekstur jgk ss emina bau tidak nyengat gatau muka minyak banget rada sama kirain pas awal doang pas diterusin tetep tidak cocok suka mungkin org cocok,negative
emina sun battle sunscreen,Elsanataliagt_,sunscreen adem pakai tekstur easy to blend sayang wajah whitecase perih dimataarea tzone kilang minyak plus kusam huu sedih banget yaaa sunscreen tidak cocok,negative
emina sun battle sunscreen,pitalokahbsr,suka sunscreen emina suka suka tekstur enak terang tidak kaya gel warna putih mudah blend blend wajah rasa panas bagi pinggir hidung pinggir mulut mungkin bagi sensitif produk kandung kandung tidak pakai saat kulit sensitif hentiin guna ganti sunscreen sunscreen blend bikin glowing kulit sehat tambah bedak dikit nama tidak cocok,negative
emina sun battle sunscreen,putrianapuput,pakai buat wajah super duper minyak tekstur cream tidak nyangka banget minyak tekstur cream tidak susah apply sunscreen tidak bau dia ringan wajah repurchase,negative
emina sun battle sunscreen,Animoritsu,beliberharap saudara pakai kulit ngaca seharianlepek banget lamar bawa pulang emina sun battle spf hasil maaf banget tinggal,negative
emina sun battle sunscreen,Sarahghr,tarik cobain spfnya tekstur thick banding spf greasy agak susah serap kulit ngerasanya lamalama bikin agak kusam ngerasanya cocok pakai sunscreen efek minyak banget mungkin memang tuju milik dry skin,negative
emina sun battle sunscreen,Ekayulianaaa,sunscreen minyak coba asli parah banget minyak even pas diolesin kulit kulit oily tidak rekomendasi mungkin sunscreen cocok kulit super kering kerontang wangi kaya vanilla mungkin overall tidak bikin beruntus tidak suka tekstur minyak parah kaya kilang minyak bikin kusam,negative
emina sun battle sunscreen,fitriaajeng,emina suka agak oily wajah wajah agak kusem mungkin formulasi tidak cocok wajah yaaaentah kenapapadahal spf banget lhoooodengan harga murah cobaain teman teman,negative
emina sun battle sunscreen,dhillast,finishnya oily banget kulit wajah kombinasi bikin kusam spfnya lumayan cepat resap ninggalin white cast melembabkan tidak rekomendasi produk kulit wajah kombinasi oily bikin oily kusam,negative
emina sun battle sunscreen,indirafhanum,suka sunscreen emina jujur suka texturewise kental mudah blend wajah aroma kenceng mirip sunscreen emina finish sunscreen bikin sangatsangat tidak nyaman turut oily tidak ngeset,negative
emina sun battle sunscreen,dswiyt,maaf banget suka tekstur finishnya bentuk kayak cream warna agak kuning thickkk banget turut bau kayak ss emina i feel lupa gamake tidak ganggu bau banget kering muka hampir jam make keluar gaenak banget kasih bedak biar tidak lengket basah serius ganggu banget tidak kering muka pokok tidak tidak banget wlaupun tidak bikin adang kulit yang timbul jerawat komedo merah oiya pakai agak whitecase dikit nyatu kulit,negative
